frame_index,timestamp,instrument_id,instrument_type,center_x,center_y,area,confidence,bbox_x,bbox_y,bbox_w,bbox_h
0,0.0,0,scalpel,503,248,8135,0.4629346258612402,477,169,53,158
5,0.2,0,scalpel,503,244,8569,0.45548337930033383,477,161,53,166
10,0.4,0,scalpel,503,238,9134,0.44414215376846355,477,149,53,178
15,0.6,0,scalpel,503,233,9651,0.436529538252603,477,139,53,188
15,0.6,1,scalpel,518,88,1128,0.3976454293628809,507,50,23,76
20,0.8,0,scalpel,503,227,10233,0.42920759576778367,477,128,53,199
20,0.8,1,scissors,511,83,1841,0.5113751147842057,493,50,36,66
25,1.0,0,scalpel,503,220,10999,0.42122264101038154,477,114,53,213
25,1.0,2,scissors,501,76,1893,0.6500369822485208,477,50,48,52
30,1.2,0,scalpel,503,213,11733,0.4138533641250558,477,100,53,227
30,1.2,1,scissors,498,69,957,0.6147600262984878,477,50,42,39
35,1.4,0,scalpel,503,210,12094,0.4104399517861056,477,93,53,234
35,1.4,1,scissors,492,66,523,0.5721123829344432,477,51,31,31
40,1.6,0,scalpel,503,208,12270,0.40830802909399055,477,89,53,238
45,1.8,0,scissors,499,310,725,0.6331037649219466,477,294,44,33
45,1.8,1,scalpel,503,205,11610,0.3991223277098559,477,84,53,242
50,2.0,1,scalpel,503,201,12402,0.3984270090950937,477,76,53,251
55,2.2,0,scalpel,503,195,13588,0.39748407369146005,477,63,53,264
60,2.4,0,scalpel,503,191,13954,0.39500142971909424,477,56,53,271
65,2.6,0,scalpel,503,190,14057,0.39430557232755037,477,54,53,273
70,2.8,1,scalpel,503,189,13983,0.3924495867768595,477,52,53,275
75,3.0,1,scalpel,503,188,14131,0.39208708571726464,477,50,53,277
80,3.2,1,scalpel,503,188,14075,0.39172216502235135,477,50,53,277
85,3.4,1,scalpel,503,188,14217,0.39264749964159573,477,50,53,277
90,3.6,0,scalpel,503,188,14325,0.3933512752674999,477,50,53,277
95,3.8,0,scalpel,503,188,14265,0.39296028880866424,477,50,53,277
100,4.0,0,scalpel,503,188,14130,0.39208056927628404,477,50,53,277
105,4.2,0,scalpel,503,188,14156,0.3922499967417795,477,50,53,277
110,4.4,0,scalpel,503,188,14102,0.39189485070833713,477,50,53,277
115,4.6,0,scissors,503,303,1739,0.6774956597222223,477,279,53,48
115,4.6,1,scissors,503,280,611,0.47318594104308387,477,259,53,42
115,4.6,2,scalpel,503,167,11423,0.40342236306020823,477,50,53,235
120,4.8,0,scissors,503,303,1699,0.6687065972222223,477,279,53,48
120,4.8,2,scalpel,503,172,11820,0.39845897542690545,477,50,53,245
125,5.0,0,scissors,503,300,1938,0.6323902606310013,477,273,53,54
125,5.0,1,scalpel,503,171,11652,0.3986638215719148,477,50,53,243
130,5.2,0,scissors,503,277,4240,0.5163299663299663,477,228,53,99
130,5.2,1,scalpel,503,152,9633,0.41574274317570165,477,50,53,204
135,5.4,0,scalpel,503,188,14232,0.39274524625630464,477,50,53,277
140,5.6,0,scalpel,503,188,14304,0.3932144300069074,477,50,53,277
145,5.8,0,scalpel,503,188,14309,0.39324701221181035,477,50,53,277
150,6.0,0,scalpel,503,260,5953,0.46578024058810424,477,193,53,134
150,6.0,1,scalpel,503,136,7982,0.433357278893381,477,50,53,173
155,6.2,0,scalpel,503,264,5489,0.475664,477,202,53,125
155,6.2,1,scalpel,503,143,8283,0.4278240740740741,477,53,53,180
160,6.4,0,scalpel,503,260,5837,0.4650036746000339,477,194,53,133
160,6.4,1,scalpel,503,141,7714,0.43505304436119185,477,57,53,169
165,6.6,0,scalpel,503,195,13492,0.39753285431334845,477,64,53,263
170,6.8,0,scalpel,503,200,13020,0.4017083535127873,477,74,53,253
175,7.0,0,scalpel,503,189,13782,0.3904615626969124,477,51,53,276
180,7.2,0,scalpel,503,212,11839,0.4118998109640832,477,97,53,230
185,7.4,0,scalpel,503,218,11166,0.4185627216547389,477,110,53,217
190,7.6,0,scalpel,503,222,10761,0.42317712506581806,477,118,53,209
195,7.8,0,scalpel,503,226,10390,0.42731594941672385,477,125,53,202
200,8.0,0,scalpel,503,229,10015,0.4316962524654832,477,132,53,195
205,8.2,0,scalpel,503,231,9849,0.4349880759847592,477,136,53,191
210,8.4,0,scalpel,503,234,9601,0.43876604231703087,477,141,53,186
215,8.6,0,scalpel,503,235,9429,0.44077756875391916,477,144,53,183
215,8.6,1,scissors,504,86,2853,0.575221836419753,478,50,52,72
220,8.8,0,scalpel,503,237,9128,0.4424424955525733,477,148,53,179
220,8.8,2,scissors,489,69,589,0.5039473684210526,477,50,24,38
225,9.0,0,scalpel,503,239,8967,0.44474916064049586,477,151,53,176
225,9.0,2,scissors,515,72,654,0.4690340909090909,501,50,29,44
